date,active_addresses,transactions,difficulty,hashrate,block_size,transaction_value,avg_transaction_value,price,return_log_pct,return_simple_pct,lag1_price,lag1_return,rolling_vol_7d,rolling_vol_30d,day_of_week,month,year,target_price_t1,target_return_t1
2015-08-24,274246.0,125213.0,54256630328.0,4.031896189047517e+17,464513.0,3585.0,92.561,219.892,-4.18379772435815,-4.097484811611651,229.287,-0.24437269177113122,3.394209512299721,1.9825158259130466,0,8,2015,213.673,-2.8689707727218625
2015-08-25,254062.0,121838.0,54256630328.0,4.028364408162973e+17,485966.0,3628.0,95.281,213.673,-2.8689707727218625,-2.8282065741363938,219.892,-4.18379772435815,3.385538416349099,1.9878259208772222,1,8,2015,225.249,5.27596479680224
2015-08-26,255606.0,122691.0,54256630328.0,3.926351687714086e+17,384667.0,2924.0,85.958,225.249,5.27596479680224,5.4176241265859515,213.673,-2.8689707727218625,3.033000534310349,2.2893626284901907,2,8,2015,225.623,0.1659007814990512
2015-08-27,243773.0,119942.0,54256630328.0,4.068423780190798e+17,438508.0,2823.0,86.861,225.623,0.1659007814990512,0.16603847297878005,225.249,5.27596479680224,3.019466125771254,2.2725411292414437,3,8,2015,227.685,0.9097629965002599
2015-08-28,266678.0,120230.0,54256630328.0,3.913447820426448e+17,412922.0,3170.0,93.071,227.685,0.9097629965002599,0.9139139183505174,225.623,0.1659007814990512,3.0553956056751668,2.2953419410103795,4,8,2015,230.117,1.062478048666567
2015-08-29,198452.0,107329.0,54256630328.0,4.42105859448096e+17,350965.0,2107.0,59.507,230.117,1.062478048666567,1.0681423897050735,227.685,0.9097629965002599,3.0444697461005523,2.320147851370517,5,8,2015,229.659,-0.19922751578577855
2015-08-30,256675.0,98189.0,54256630328.0,4.144318399509015e+17,372025.0,1826.0,70.795,229.659,-0.19922751578577855,-0.19902918949925574,230.117,1.062478048666567,3.0438722583775935,2.321350389528633,6,8,2015,228.792,-0.37823062163533355
2015-08-31,265807.0,127103.0,54256630328.0,4.303101350143879e+17,454204.0,2334.0,76.852,228.792,-0.37823062163533355,-0.3775162305853397,229.659,-0.19922751578577855,2.4489683353176157,2.3194134273553373,0,8,2015,228.197,-0.2604002880665268
2015-09-01,276332.0,130256.0,54256630328.0,3.9628845663843546e+17,451761.0,2498.0,80.966,228.197,-0.2604002880665268,-0.26006154061331,228.792,-0.37823062163533355,1.9955060182506723,2.3192564526062087,1,9,2015,228.016,-0.07934890478651836
2015-09-02,258552.0,149906.0,54256630328.0,4.272481306395324e+17,755611.0,2142.0,157.627,228.016,-0.07934890478651836,-0.07931743186808671,228.197,-0.2604002880665268,0.5813707240908779,2.305166434316595,2,9,2015,227.614,-0.17645901468804326
2015-09-03,267320.0,128536.0,54256630328.0,4.088048787999141e+17,494615.0,2162.0,87.814,227.614,-0.17645901468804326,-0.17630341730404675,228.016,-0.07934890478651836,0.5964129109265779,2.2987480312434907,3,9,2015,229.058,0.6324034810708151
2015-09-04,222824.0,103817.0,55936109548.0,4.301864929204133e+17,355384.0,2437.0,84.001,229.058,0.6324034810708151,0.6344073738873579,227.614,-0.17645901468804326,0.5423942317425158,2.311357312377964,4,9,2015,231.934,1.2477601840109032
2015-09-05,288585.0,124071.0,56957648455.0,4.342689197351648e+17,448335.0,1699.0,40.338,231.934,1.2477601840109032,1.255577190056667,229.058,0.6324034810708151,0.5995086457245947,2.3358122976592286,5,9,2015,239.717,3.3006212476515926
2015-09-06,264468.0,106149.0,56957648455.0,4.2833782851948166e+17,411236.0,2160.0,59.806,239.717,3.3006212476515926,3.3556960169703443,231.934,1.2477601840109032,1.3212721529691343,2.442880064724593,6,9,2015,240.53,0.3385760979844335
2015-09-07,140941.0,125315.0,56957648455.0,3.9771249552829446e+17,477495.0,1967.0,76.555,240.53,0.3385760979844335,0.3391499142739063,239.717,3.3006212476515926,1.2579667709468065,2.4301273760793247,0,9,2015,243.394,1.1836707577829788
2015-09-08,293553.0,125243.0,56957648455.0,4.0926880018663e+17,692200.0,2719.0,98.809,243.394,1.1836707577829788,1.1907038623040878,240.53,0.3385760979844335,1.1878541712242785,2.377817174143681,1,9,2015,240.462,-1.211945656514363
2015-09-09,293553.0,126308.0,56957648455.0,3.973249597498965e+17,728272.0,2481.0,106.895,240.462,-1.211945656514363,-1.2046311741456317,243.394,1.1836707577829788,1.4042532560867769,2.3799970984471344,2,9,2015,238.539,-0.8029253931132188
2015-09-10,216913.0,124780.0,56957648455.0,4.686409044433124e+17,698554.0,2614.0,85.45,238.539,-0.8029253931132188,-0.7997105571774354,240.462,-1.211945656514363,1.4911022830867602,2.378093260240709,3,9,2015,239.916,0.5756043104988489
2015-09-11,266605.0,179844.0,56957648455.0,4.783485456079204e+17,697999.0,1618.0,27.27,239.916,0.5756043104988489,0.5772640951794195,238.539,-0.8029253931132188,1.4914937944491862,2.374183178665144,4,9,2015,238.114,-0.7539311489438335
2015-09-12,252935.0,137605.0,56957648455.0,4.13577397023174e+17,662048.0,1375.0,34.27,238.114,-0.7539311489438335,-0.7510962170092839,239.916,0.5756043104988489,1.5510837093740575,2.3679974980424623,5,9,2015,232.617,-2.3356226330038794
